,latitude,longitude,pop_per_pixel
1,22.584166777339494,88.42833299386814,1148.706298828125
2,22.584166777339494,88.42749966053813,1111.6036376953125
3,22.584166777339494,88.42666632720812,1085.8021240234375
4,22.584166777339494,88.42916632719815,1084.186767578125
5,22.584166777339494,88.42999966052815,961.6117553710938
6,22.584166777339494,88.42583299387812,960.1622314453125
7,22.584166777339494,88.4241663272181,950.5551147460938
8,22.584166777339494,88.42499966054811,937.6963500976562
9,22.584166777339494,88.40916632727797,934.371826171875
10,22.584166777339494,88.40999966060798,894.466552734375
11,22.584166777339494,88.40833299394797,875.4462280273438
12,22.584166777339494,88.40249966063791,863.6358032226562
13,22.584166777339494,88.4233329938881,851.6317138671875
14,22.584166777339494,88.41083299393799,816.1027221679688
15,22.584166777339494,88.40166632730791,806.810302734375
16,22.584166777339494,88.40499966062794,793.5923461914062
17,22.584166777339494,88.40333299396792,791.9378662109375
18,22.584166777339494,88.40416632729793,766.9711303710938
19,22.584166777339494,88.411666327268,709.41796875
20,22.584166777339494,88.42249966055809,657.969970703125
21,22.584166777339494,88.42166632722808,654.0466918945312
22,22.584166777339494,88.42083299389807,617.0780639648438
23,22.584166777339494,88.41416632725802,608.4429931640625
24,13.000833482342827,77.55916637058517,606.721923828125
25,22.584166777339494,88.41499966058802,604.4644775390625
26,13.000833482342827,77.55833303725517,603.2344970703125
27,22.584166777339494,88.412499660598,602.744140625
28,13.000833482342827,77.55999970391518,596.5054321289062
29,13.000833482342827,77.55749970392516,595.2886352539062
30,13.000833482342827,77.55583303726515,588.1350708007812
31,13.000833482342827,77.55666637059515,585.4171142578125
32,22.584166777339494,88.41333299392801,584.6327514648438
33,13.000833482342827,77.55499970393514,581.25341796875
34,22.584166777339494,88.41999966056807,574.6651000976562
35,13.000833482342827,77.55416637060513,573.1878051757812
36,13.000833482342827,77.55249970394512,572.8923950195312
37,13.000833482342827,77.55333303727512,572.6156005859375
38,13.000833482342827,77.55166637061511,570.0256958007812
39,22.584166777339494,88.41833299390805,568.07763671875
40,13.000833482342827,77.54916637062509,566.5426025390625
41,13.000833482342827,77.5508330372851,565.4678344726562
42,13.000833482342827,77.5499997039551,564.9071655273438
43,22.584166777339494,88.41916632723806,564.6874389648438
44,13.000833482342827,77.62583303698574,560.5955200195312
45,22.584166777339494,88.41583299391803,555.822509765625
46,13.000833482342827,77.56083303724519,552.1549072265625
47,13.000833482342827,77.62499970365573,550.8966064453125
48,13.000833482342827,77.54833303729508,550.8477172851562
49,13.000833482342827,77.54749970396507,547.323974609375
50,13.000833482342827,77.5616663705752,544.341796875
